Sensor,Value,stamp
,inf,"2024-02-26 05:18:52.000000"
MQ5,inf,"2024-02-26 05:18:53.000000"
MQ6,inf,"2024-02-26 05:18:54.000000"
MQ7,inf,"2024-02-26 05:18:54.000000"
MQ8,inf,"2024-02-26 05:18:55.000000"
TGS2600,1.029637814,"2024-02-26 05:18:55.000000"
TGS2602,0.973425984,"2024-02-26 05:18:56.000000"
TGS2612,0.973600268,"2024-02-26 05:18:57.000000"
MQ9,inf,"2024-02-26 05:18:57.000000"
MQ10,inf,"2024-02-26 05:18:58.000000"
MQ11,inf,"2024-02-26 05:18:58.000000"
TGS2620,0.976334393,"2024-02-26 05:19:00.000000"
TGS2603,0.093143597,"2024-02-26 05:19:01.000000"
TGS2610,0.552147210,"2024-02-26 05:19:03.000000"
TGS2611,0.560166001,"2024-02-26 05:19:04.000000"
MQ12,inf,"2024-02-26 05:19:04.000000"
,inf,"2024-02-26 05:19:07.000000"
MQ5,inf,"2024-02-26 05:19:07.000000"
MQ6,inf,"2024-02-26 05:19:08.000000"
MQ7,inf,"2024-02-26 05:19:08.000000"
MQ8,inf,"2024-02-26 05:19:08.000000"
TGS2600,0.978155971,"2024-02-26 05:19:09.000000"
TGS2602,0.979872525,"2024-02-26 05:19:09.000000"
TGS2612,0.980047941,"2024-02-26 05:19:10.000000"
MQ9,inf,"2024-02-26 05:19:10.000000"
MQ10,inf,"2024-02-26 05:19:11.000000"
MQ11,inf,"2024-02-26 05:19:12.000000"
TGS2620,1.075833440,"2024-02-26 05:19:12.000000"
TGS2603,0.232859001,"2024-02-26 05:19:12.000000"
TGS2610,0.552147210,"2024-02-26 05:19:13.000000"
TGS2611,0.373443991,"2024-02-26 05:19:13.000000"
MQ12,inf,"2024-02-26 05:19:13.000000"
,inf,"2024-02-26 05:19:16.000000"
MQ5,inf,"2024-02-26 05:19:16.000000"
MQ6,inf,"2024-02-26 05:19:16.000000"
MQ7,inf,"2024-02-26 05:19:17.000000"
MQ8,inf,"2024-02-26 05:19:17.000000"
TGS2600,1.248435974,"2024-02-26 05:19:18.000000"
TGS2602,1.263519764,"2024-02-26 05:19:19.000000"
TGS2612,1.270193696,"2024-02-26 05:19:19.000000"
MQ9,inf,"2024-02-26 05:19:20.000000"
MQ10,inf,"2024-02-26 05:19:20.000000"
MQ11,inf,"2024-02-26 05:19:21.000000"
TGS2620,1.237519383,"2024-02-26 05:19:21.000000"
TGS2603,0.139715403,"2024-02-26 05:19:24.000000"
TGS2610,0.552147210,"2024-02-26 05:19:24.000000"
TGS2611,0.186721995,"2024-02-26 05:19:25.000000"
MQ12,inf,"2024-02-26 05:19:25.000000"
,inf,"2024-02-26 05:19:28.000000"
MQ5,inf,"2024-02-26 05:19:28.000000"
MQ6,inf,"2024-02-26 05:19:28.000000"
MQ7,inf,"2024-02-26 05:19:29.000000"
MQ8,inf,"2024-02-26 05:19:29.000000"
TGS2600,1.190518737,"2024-02-26 05:19:30.000000"
TGS2602,1.186161399,"2024-02-26 05:19:30.000000"
TGS2612,1.186373830,"2024-02-26 05:19:30.000000"
MQ9,inf,"2024-02-26 05:19:31.000000"
MQ10,inf,"2024-02-26 05:19:31.000000"
MQ11,inf,"2024-02-26 05:19:32.000000"
TGS2620,1.100708246,"2024-02-26 05:19:32.000000"
TGS2603,0.139715403,"2024-02-26 05:19:32.000000"
TGS2610,0.552147210,"2024-02-26 05:19:33.000000"
TGS2611,0.373443991,"2024-02-26 05:19:33.000000"
MQ12,inf,"2024-02-26 05:19:34.000000"
,inf,"2024-02-26 05:19:36.000000"
MQ5,inf,"2024-02-26 05:19:36.000000"
MQ6,inf,"2024-02-26 05:19:37.000000"
MQ7,inf,"2024-02-26 05:19:37.000000"
MQ8,inf,"2024-02-26 05:19:39.000000"
TGS2600,1.126166463,"2024-02-26 05:19:39.000000"
TGS2602,1.115249634,"2024-02-26 05:19:40.000000"
TGS2612,1.115449309,"2024-02-26 05:19:40.000000"
MQ9,inf,"2024-02-26 05:19:40.000000"
MQ10,inf,"2024-02-26 05:19:41.000000"
MQ11,inf,"2024-02-26 05:19:41.000000"
TGS2620,1.050958753,"2024-02-26 05:19:42.000000"
TGS2603,0.093143597,"2024-02-26 05:19:42.000000"
TGS2610,0.368098170,"2024-02-26 05:19:43.000000"
TGS2611,1.867219925,"2024-02-26 05:19:45.000000"
MQ12,inf,"2024-02-26 05:19:45.000000"
,inf,"2024-02-26 05:19:48.000000"
MQ5,inf,"2024-02-26 05:19:49.000000"
MQ6,inf,"2024-02-26 05:19:50.000000"
MQ7,inf,"2024-02-26 05:19:50.000000"
MQ8,inf,"2024-02-26 05:19:51.000000"
TGS2600,1.061814070,"2024-02-26 05:19:51.000000"
TGS2602,1.057230830,"2024-02-26 05:19:51.000000"
TGS2612,1.050972462,"2024-02-26 05:19:52.000000"
MQ9,inf,"2024-02-26 05:19:52.000000"
MQ10,inf,"2024-02-26 05:19:53.000000"
MQ11,inf,"2024-02-26 05:19:54.000000"
TGS2620,1.075833440,"2024-02-26 05:19:54.000000"
TGS2603,0.186287194,"2024-02-26 05:19:55.000000"
TGS2610,0.552147210,"2024-02-26 05:19:55.000000"
TGS2611,1.867219925,"2024-02-26 05:19:56.000000"
MQ12,inf,"2024-02-26 05:19:57.000000"
,inf,"2024-02-26 05:19:59.000000"
MQ5,inf,"2024-02-26 05:20:01.000000"
MQ6,inf,"2024-02-26 05:20:01.000000"
MQ7,inf,"2024-02-26 05:20:02.000000"
MQ8,inf,"2024-02-26 05:20:04.000000"
TGS2600,1.068249345,"2024-02-26 05:20:04.000000"
TGS2602,1.018551707,"2024-02-26 05:20:05.000000"
TGS2612,1.018734097,"2024-02-26 05:20:06.000000"
MQ9,inf,"2024-02-26 05:20:06.000000"
MQ10,inf,"2024-02-26 05:20:07.000000"
MQ11,inf,"2024-02-26 05:20:08.000000"
TGS2620,0.994990468,"2024-02-26 05:20:08.000000"
TGS2603,0.186287194,"2024-02-26 05:20:09.000000"
TGS2610,0.552147210,"2024-02-26 05:20:09.000000"
TGS2611,0.373443991,"2024-02-26 05:20:10.000000"
