Sensor,Value,stamp
,inf,"2024-02-28 01:55:51.000000"
MQ5,inf,"2024-02-28 01:55:51.000000"
MQ6,inf,"2024-02-28 01:55:52.000000"
MQ7,inf,"2024-02-28 01:55:52.000000"
MQ8,inf,"2024-02-28 01:55:52.000000"
TGS2600,0.953550339,"2024-02-28 01:55:53.000000"
TGS2602,0.955763400,"2024-02-28 01:55:53.000000"
TGS2612,1.012907624,"2024-02-28 01:55:54.000000"
MQ9,inf,"2024-02-28 01:55:54.000000"
MQ10,inf,"2024-02-28 01:55:55.000000"
MQ11,inf,"2024-02-28 01:55:56.000000"
TGS2620,0.963617146,"2024-02-28 01:55:56.000000"
TGS2603,0.159256801,"2024-02-28 01:55:57.000000"
TGS2610,0.480427057,"2024-02-28 01:55:57.000000"
TGS2611,0.324909747,"2024-02-28 01:55:57.000000"
MQ12,inf,"2024-02-28 01:55:58.000000"
,inf,"2024-02-28 01:56:00.000000"
MQ5,inf,"2024-02-28 01:56:01.000000"
MQ6,inf,"2024-02-28 01:56:01.000000"
MQ7,inf,"2024-02-28 01:56:02.000000"
MQ8,inf,"2024-02-28 01:56:03.000000"
TGS2600,0.953550339,"2024-02-28 01:56:03.000000"
TGS2602,0.955763400,"2024-02-28 01:56:03.000000"
TGS2612,0.955931544,"2024-02-28 01:56:04.000000"
MQ9,inf,"2024-02-28 01:56:05.000000"
MQ10,inf,"2024-02-28 01:56:06.000000"
MQ11,inf,"2024-02-28 01:56:06.000000"
TGS2620,0.988167882,"2024-02-28 01:56:07.000000"
TGS2603,0.079628401,"2024-02-28 01:56:07.000000"
TGS2610,0.480427057,"2024-02-28 01:56:07.000000"
TGS2611,0.487364620,"2024-02-28 01:56:08.000000"
MQ12,inf,"2024-02-28 01:56:08.000000"
,inf,"2024-02-28 01:56:11.000000"
MQ5,inf,"2024-02-28 01:56:11.000000"
MQ6,inf,"2024-02-28 01:56:12.000000"
MQ7,inf,"2024-02-28 01:56:12.000000"
MQ8,inf,"2024-02-28 01:56:13.000000"
TGS2600,2.671203852,"2024-02-28 01:56:13.000000"
TGS2602,2.785006046,"2024-02-28 01:56:14.000000"
TGS2612,2.893117189,"2024-02-28 01:56:15.000000"
MQ9,inf,"2024-02-28 01:56:15.000000"
MQ10,inf,"2024-02-28 01:56:15.000000"
MQ11,inf,"2024-02-28 01:56:16.000000"
TGS2620,2.461213112,"2024-02-28 01:56:16.000000"
TGS2603,0.119442597,"2024-02-28 01:56:17.000000"
TGS2610,0.480427057,"2024-02-28 01:56:17.000000"
TGS2611,0.487364620,"2024-02-28 01:56:18.000000"
MQ12,inf,"2024-02-28 01:56:19.000000"
,inf,"2024-02-28 01:56:21.000000"
MQ5,inf,"2024-02-28 01:56:21.000000"
