Sensor,Value,stamp
,inf,"2024-02-28 05:57:36.000000"
MQ5,inf,"2024-02-28 05:57:36.000000"
MQ6,inf,"2024-02-28 05:57:37.000000"
MQ7,inf,"2024-02-28 05:57:38.000000"
MQ8,inf,"2024-02-28 05:57:38.000000"
TGS2600,0.973328054,"2024-02-28 05:57:39.000000"
TGS2602,0.975950539,"2024-02-28 05:57:39.000000"
TGS2612,0.975982964,"2024-02-28 05:57:40.000000"
MQ9,inf,"2024-02-28 05:57:40.000000"
MQ10,inf,"2024-02-28 05:57:41.000000"
MQ11,inf,"2024-02-28 05:57:41.000000"
TGS2620,0.970848083,"2024-02-28 05:57:42.000000"
TGS2603,0.043966781,"2024-02-28 05:57:42.000000"
TGS2610,0.724346101,"2024-02-28 05:57:43.000000"
TGS2611,0.182186246,"2024-02-28 05:57:43.000000"
MQ12,inf,"2024-02-28 05:57:44.000000"
,inf,"2024-02-28 05:57:46.000000"
MQ5,inf,"2024-02-28 05:57:47.000000"
MQ6,inf,"2024-02-28 05:57:47.000000"
MQ7,inf,"2024-02-28 05:57:47.000000"
MQ8,inf,"2024-02-28 05:57:48.000000"
TGS2600,0.967356741,"2024-02-28 05:57:49.000000"
TGS2602,0.969963074,"2024-02-28 05:57:49.000000"
TGS2612,0.969995379,"2024-02-28 05:57:50.000000"
MQ9,inf,"2024-02-28 05:57:50.000000"
MQ10,inf,"2024-02-28 05:57:50.000000"
MQ11,inf,"2024-02-28 05:57:51.000000"
TGS2620,0.970848083,"2024-02-28 05:57:51.000000"
TGS2603,0.175867125,"2024-02-28 05:57:52.000000"
TGS2610,0.543259561,"2024-02-28 05:57:52.000000"
TGS2611,0.546558738,"2024-02-28 05:57:53.000000"
MQ12,inf,"2024-02-28 05:57:53.000000"
,inf,"2024-02-28 05:57:55.000000"
MQ5,inf,"2024-02-28 05:57:56.000000"
MQ6,inf,"2024-02-28 05:57:56.000000"
MQ7,inf,"2024-02-28 05:57:57.000000"
MQ8,inf,"2024-02-28 05:57:58.000000"
TGS2600,0.967356741,"2024-02-28 05:57:58.000000"
TGS2602,0.969963074,"2024-02-28 05:57:58.000000"
TGS2612,0.969995379,"2024-02-28 05:57:59.000000"
MQ9,inf,"2024-02-28 05:57:59.000000"
MQ10,inf,"2024-02-28 05:58:00.000000"
MQ11,inf,"2024-02-28 05:58:01.000000"
TGS2620,0.964891970,"2024-02-28 05:58:01.000000"
TGS2603,0.175867125,"2024-02-28 05:58:01.000000"
TGS2610,0.543259561,"2024-02-28 05:58:02.000000"
TGS2611,0.364372492,"2024-02-28 05:58:02.000000"
MQ12,inf,"2024-02-28 05:58:03.000000"
,inf,"2024-02-28 05:58:05.000000"
MQ5,inf,"2024-02-28 05:58:05.000000"
MQ6,inf,"2024-02-28 05:58:06.000000"
MQ7,inf,"2024-02-28 05:58:06.000000"
MQ8,inf,"2024-02-28 05:58:07.000000"
TGS2600,1.033041477,"2024-02-28 05:58:08.000000"
TGS2602,0.975950539,"2024-02-28 05:58:08.000000"
TGS2612,1.035859227,"2024-02-28 05:58:09.000000"
MQ9,inf,"2024-02-28 05:58:09.000000"
MQ10,inf,"2024-02-28 05:58:10.000000"
MQ11,inf,"2024-02-28 05:58:10.000000"
TGS2620,0.982760370,"2024-02-28 05:58:11.000000"
TGS2603,0.131900340,"2024-02-28 05:58:11.000000"
TGS2610,0.362173051,"2024-02-28 05:58:12.000000"
TGS2611,0.546558738,"2024-02-28 05:58:12.000000"
MQ12,inf,"2024-02-28 05:58:12.000000"
,inf,"2024-02-28 05:58:15.000000"
MQ5,inf,"2024-02-28 05:58:15.000000"
MQ6,inf,"2024-02-28 05:58:15.000000"
MQ7,inf,"2024-02-28 05:58:16.000000"
MQ8,inf,"2024-02-28 05:58:17.000000"
TGS2600,0.973328054,"2024-02-28 05:58:17.000000"
TGS2602,0.981937945,"2024-02-28 05:58:18.000000"
