Sensor,Value,stamp
,inf,"2024-02-28 04:46:19.000000"
MQ5,inf,"2024-02-28 04:46:19.000000"
MQ6,inf,"2024-02-28 04:46:20.000000"
MQ7,inf,"2024-02-28 04:46:20.000000"
MQ8,inf,"2024-02-28 04:46:21.000000"
TGS2600,0.962376237,"2024-02-28 04:46:22.000000"
TGS2602,0.964477122,"2024-02-28 04:46:22.000000"
TGS2612,0.964764237,"2024-02-28 04:46:23.000000"
MQ9,inf,"2024-02-28 04:46:23.000000"
MQ10,inf,"2024-02-28 04:46:24.000000"
MQ11,inf,"2024-02-28 04:46:24.000000"
TGS2620,0.960361362,"2024-02-28 04:46:24.000000"
TGS2603,0.078774616,"2024-02-28 04:46:25.000000"
TGS2610,0.327570528,"2024-02-28 04:46:25.000000"
TGS2611,0.000000000,"2024-02-28 04:46:25.000000"
MQ12,inf,"2024-02-28 04:46:26.000000"
,inf,"2024-02-28 04:46:28.000000"
MQ5,inf,"2024-02-28 04:46:28.000000"
MQ6,inf,"2024-02-28 04:46:29.000000"
MQ7,inf,"2024-02-28 04:46:29.000000"
MQ8,inf,"2024-02-28 04:46:30.000000"
TGS2600,0.962376237,"2024-02-28 04:46:30.000000"
TGS2602,1.018059134,"2024-02-28 04:46:31.000000"
TGS2612,0.964764237,"2024-02-28 04:46:32.000000"
MQ9,inf,"2024-02-28 04:46:32.000000"
MQ10,inf,"2024-02-28 04:46:33.000000"
MQ11,inf,"2024-02-28 04:46:33.000000"
TGS2620,0.972144902,"2024-02-28 04:46:34.000000"
TGS2603,0.196936533,"2024-02-28 04:46:34.000000"
TGS2610,1.146496773,"2024-02-28 04:46:35.000000"
TGS2611,0.332717180,"2024-02-28 04:46:35.000000"
MQ12,inf,"2024-02-28 04:46:36.000000"
,inf,"2024-02-28 04:46:38.000000"
MQ5,inf,"2024-02-28 04:46:38.000000"
MQ6,inf,"2024-02-28 04:46:39.000000"
MQ7,inf,"2024-02-28 04:46:40.000000"
MQ8,inf,"2024-02-28 04:46:40.000000"
TGS2600,0.980198026,"2024-02-28 04:46:41.000000"
TGS2602,0.982337832,"2024-02-28 04:46:41.000000"
TGS2612,0.982630253,"2024-02-28 04:46:41.000000"
MQ9,inf,"2024-02-28 04:46:42.000000"
MQ10,inf,"2024-02-28 04:46:42.000000"
MQ11,inf,"2024-02-28 04:46:43.000000"
TGS2620,1.001603842,"2024-02-28 04:46:43.000000"
TGS2603,0.118161924,"2024-02-28 04:46:43.000000"
TGS2610,0.327570528,"2024-02-28 04:46:44.000000"
TGS2611,0.665434361,"2024-02-28 04:46:44.000000"
MQ12,nan,"2024-02-28 04:46:45.000000"
,inf,"2024-02-28 04:46:47.000000"
MQ5,inf,"2024-02-28 04:46:48.000000"
MQ6,inf,"2024-02-28 04:46:48.000000"
MQ7,inf,"2024-02-28 04:46:49.000000"
MQ8,inf,"2024-02-28 04:46:49.000000"
TGS2600,1.051485181,"2024-02-28 04:46:50.000000"
TGS2602,1.006152034,"2024-02-28 04:46:50.000000"
TGS2612,1.012406945,"2024-02-28 04:46:51.000000"
MQ9,inf,"2024-02-28 04:46:52.000000"
MQ10,inf,"2024-02-28 04:46:52.000000"
MQ11,inf,"2024-02-28 04:46:53.000000"
TGS2620,0.995712042,"2024-02-28 04:46:53.000000"
TGS2603,0.157549232,"2024-02-28 04:46:54.000000"
TGS2610,0.163785264,"2024-02-28 04:46:54.000000"
TGS2611,0.998151541,"2024-02-28 04:46:55.000000"
MQ12,nan,"2024-02-28 04:46:55.000000"
,inf,"2024-02-28 04:46:58.000000"
MQ5,inf,"2024-02-28 04:46:58.000000"
MQ6,inf,"2024-02-28 04:46:59.000000"
MQ7,inf,"2024-02-28 04:46:59.000000"
MQ8,inf,"2024-02-28 04:46:59.000000"
TGS2600,0.986138642,"2024-02-28 04:47:00.000000"
TGS2602,0.988291383,"2024-02-28 04:47:00.000000"
TGS2612,0.988585591,"2024-02-28 04:47:01.000000"
MQ9,inf,"2024-02-28 04:47:02.000000"
MQ10,inf,"2024-02-28 04:47:03.000000"
MQ11,inf,"2024-02-28 04:47:03.000000"
TGS2620,0.989820242,"2024-02-28 04:47:03.000000"
TGS2603,0.315098464,"2024-02-28 04:47:03.000000"
TGS2610,0.491355777,"2024-02-28 04:47:04.000000"
TGS2611,0.499075770,"2024-02-28 04:47:04.000000"
MQ12,nan,"2024-02-28 04:47:05.000000"
,inf,"2024-02-28 04:47:07.000000"
MQ5,inf,"2024-02-28 04:47:07.000000"
MQ6,inf,"2024-02-28 04:47:08.000000"
MQ7,inf,"2024-02-28 04:47:09.000000"
MQ8,inf,"2024-02-28 04:47:09.000000"
TGS2600,0.980198026,"2024-02-28 04:47:09.000000"
TGS2602,0.982337832,"2024-02-28 04:47:10.000000"
TGS2612,0.982630253,"2024-02-28 04:47:10.000000"
MQ9,inf,"2024-02-28 04:47:11.000000"
MQ10,inf,"2024-02-28 04:47:11.000000"
MQ11,inf,"2024-02-28 04:47:12.000000"
TGS2620,0.978036702,"2024-02-28 04:47:12.000000"
TGS2603,0.196936533,"2024-02-28 04:47:12.000000"
TGS2610,0.000000000,"2024-02-28 04:47:13.000000"
TGS2611,0.499075770,"2024-02-28 04:47:13.000000"
MQ12,inf,"2024-02-28 04:47:14.000000"
,inf,"2024-02-28 04:47:16.000000"
MQ5,inf,"2024-02-28 04:47:16.000000"
MQ6,inf,"2024-02-28 04:47:17.000000"
MQ7,inf,"2024-02-28 04:47:17.000000"
MQ8,inf,"2024-02-28 04:47:17.000000"
TGS2600,0.974257469,"2024-02-28 04:47:18.000000"
TGS2602,0.976384223,"2024-02-28 04:47:19.000000"
TGS2612,0.976674914,"2024-02-28 04:47:19.000000"
MQ9,inf,"2024-02-28 04:47:20.000000"
MQ10,inf,"2024-02-28 04:47:20.000000"
MQ11,inf,"2024-02-28 04:47:20.000000"
TGS2620,0.972144902,"2024-02-28 04:47:21.000000"
TGS2603,0.118161924,"2024-02-28 04:47:21.000000"
TGS2610,0.327570528,"2024-02-28 04:47:21.000000"
TGS2611,0.166358590,"2024-02-28 04:47:22.000000"
MQ12,inf,"2024-02-28 04:47:22.000000"
,inf,"2024-02-28 04:47:25.000000"
MQ5,inf,"2024-02-28 04:47:25.000000"
MQ6,inf,"2024-02-28 04:47:26.000000"
MQ7,inf,"2024-02-28 04:47:27.000000"
MQ8,inf,"2024-02-28 04:47:27.000000"
TGS2600,0.968316853,"2024-02-28 04:47:27.000000"
TGS2602,0.970430672,"2024-02-28 04:47:28.000000"
TGS2612,0.970719576,"2024-02-28 04:47:28.000000"
MQ9,inf,"2024-02-28 04:47:28.000000"
MQ10,inf,"2024-02-28 04:47:29.000000"
MQ11,inf,"2024-02-28 04:47:29.000000"
TGS2620,0.972144902,"2024-02-28 04:47:30.000000"
TGS2603,0.118161924,"2024-02-28 04:47:30.000000"
TGS2610,0.163785264,"2024-02-28 04:47:31.000000"
TGS2611,0.499075770,"2024-02-28 04:47:31.000000"
MQ12,inf,"2024-02-28 04:47:31.000000"
,inf,"2024-02-28 04:47:34.000000"
MQ5,inf,"2024-02-28 04:47:34.000000"
